date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-02,sh.600183,21.3800,22.9700,21.0300,22.7400,20.9200,97498793,2152265774.0000,3,4.283400,1,8.699800,0
2020-01-03,sh.600183,22.8000,23.1500,22.5000,22.8000,22.7400,67222064,1536373878.0000,3,2.953300,1,0.263800,0
2020-01-06,sh.600183,22.6200,23.7900,22.3300,23.4800,22.8000,76493115,1781544909.0000,3,3.360600,1,2.982500,0
2020-01-07,sh.600183,23.5100,23.7500,23.0200,23.3000,23.4800,44759589,1039496425.0000,3,1.966400,1,-0.766600,0
2020-01-08,sh.600183,23.1100,23.1200,22.4200,22.5100,23.3000,41779383,951450159.0000,3,1.835500,1,-3.390600,0
2020-01-09,sh.600183,22.9000,23.0000,22.6100,23.0000,22.5100,34423410,786079261.0000,3,1.512300,1,2.176800,0
2020-01-10,sh.600183,23.0900,23.5000,22.9000,23.1000,23.0000,41145597,956207639.0000,3,1.807700,1,0.434800,0
2020-01-13,sh.600183,23.2200,24.4500,23.0500,24.3200,23.1000,75941510,1817789557.0000,3,3.336300,1,5.281400,0
2020-01-14,sh.600183,24.3500,24.4300,23.7500,23.8800,24.3200,42727532,1024187777.0000,3,1.877200,1,-1.809200,0
2020-01-15,sh.600183,23.8300,24.0600,23.3900,23.9300,23.8800,35769914,849783325.0000,3,1.571500,1,0.209400,0
2020-01-16,sh.600183,23.9400,23.9400,23.4800,23.6000,23.9300,30099024,711767053.0000,3,1.322300,1,-1.379000,0
2020-01-17,sh.600183,23.7100,23.7800,22.8500,23.0000,23.6000,37521913,868731782.0000,3,1.648500,1,-2.542400,0
2020-01-20,sh.600183,23.1200,24.2400,23.0900,24.2000,23.0000,54775473,1302957342.0000,3,2.406500,1,5.217400,0
2020-01-21,sh.600183,24.0000,25.2000,23.8600,24.6200,24.2000,57630633,1425463476.0000,3,2.531900,1,1.735500,0
2020-01-22,sh.600183,24.3000,26.0500,23.9800,25.7500,24.6200,64772556,1639391171.0000,3,2.845700,1,4.589800,0
2020-01-23,sh.600183,25.1000,25.7800,23.7700,24.3200,25.7500,57257656,1424481779.0000,3,2.515500,1,-5.553400,0
2020-02-03,sh.600183,21.8900,21.8900,21.8900,21.8900,24.3200,11385100,249219839.0000,3,0.500200,1,-9.991800,0
2020-02-04,sh.600183,19.9000,22.5800,19.8600,21.5500,21.8900,57254300,1232655999.0000,3,2.515400,1,-1.553200,0
2020-02-05,sh.600183,21.7000,22.4500,21.0100,21.3400,21.5500,55144438,1199801517.0000,3,2.422700,1,-0.974500,0
2020-02-06,sh.600183,21.2000,22.3300,20.7400,21.9200,21.3400,56252247,1203792832.0000,3,2.471300,1,2.717900,0
2020-02-07,sh.600183,22.0300,23.1200,21.8100,22.9400,21.9200,61523136,1389187541.0000,3,2.702900,1,4.653300,0
2020-02-10,sh.600183,22.9400,23.7500,22.6100,23.3600,22.9400,46699005,1085365665.0000,3,2.051600,1,1.830900,0
2020-02-11,sh.600183,23.4900,23.6000,22.6700,23.1800,23.3600,48354652,1116200349.0000,3,2.124400,1,-0.770500,0
2020-02-12,sh.600183,23.0000,23.9000,22.8200,23.8100,23.1800,48861929,1146329251.0000,3,2.146700,1,2.717900,0
2020-02-13,sh.600183,23.7000,24.9700,23.6000,24.3400,23.8100,60005945,1468708005.0000,3,2.636200,1,2.226000,0
2020-02-14,sh.600183,24.4500,26.2700,24.3000,25.8900,24.3400,79504572,2039407834.0000,3,3.492900,1,6.368100,0
2020-02-17,sh.600183,25.8900,28.3500,25.7000,28.0000,25.8900,86810951,2367033023.0000,3,3.813900,1,8.149900,0
2020-02-18,sh.600183,28.0000,28.1700,27.3500,27.9800,28.0000,54880912,1528680315.0000,3,2.411100,1,-0.071400,0
2020-02-19,sh.600183,27.7000,28.5000,26.9000,27.0800,27.9800,57242012,1585050566.0000,3,2.514800,1,-3.216600,0
2020-02-20,sh.600183,27.4600,28.3000,26.8800,27.9500,27.0800,58221736,1611299182.0000,3,2.557900,1,3.212700,0
2020-02-21,sh.600183,29.3000,30.6800,28.8300,29.2800,27.9500,83845692,2481513624.0000,3,3.683600,1,4.758500,0
2020-02-24,sh.600183,29.6600,32.2100,29.6600,32.2100,29.2800,79957967,2529014543.0000,3,3.512800,1,10.006800,0
2020-02-25,sh.600183,32.0100,34.2700,30.3800,33.6900,32.2100,130993795,4281408973.0000,3,5.755000,1,4.594800,0
2020-02-26,sh.600183,32.6000,33.2500,30.3200,30.5500,33.6900,92154711,2916706284.0000,3,4.048600,1,-9.320300,0
2020-02-27,sh.600183,30.5000,31.9500,29.6100,30.9900,30.5500,65599304,2029987449.0000,3,2.882000,1,1.440300,0
2020-02-28,sh.600183,29.7900,32.3000,29.3000,30.8500,30.9900,77859531,2387378736.0000,3,3.420600,1,-0.451800,0
2020-03-02,sh.600183,32.1000,33.9400,32.0900,33.9400,30.8500,71169019,2354378591.0000,3,3.126700,1,10.016200,0
2020-03-03,sh.600183,35.7000,36.8000,32.5400,33.8800,33.9400,105509687,3651728671.0000,3,4.635400,1,-0.176800,0
2020-03-04,sh.600183,32.9000,33.2800,31.5000,32.2900,33.8800,73628716,2381235174.0000,3,3.234700,1,-4.693000,0
2020-03-05,sh.600183,33.5500,33.9800,31.1500,31.9200,32.2900,69948721,2262704920.0000,3,3.073100,1,-1.145900,0
2020-03-06,sh.600183,30.7700,31.9900,30.7700,31.3500,31.9200,36054795,1135876506.0000,3,1.584000,1,-1.785700,0
2020-03-09,sh.600183,30.7400,32.1900,29.9600,30.0000,31.3500,49801290,1537344478.0000,3,2.187900,1,-4.306200,0
2020-03-10,sh.600183,29.9000,33.0000,29.8300,33.0000,30.0000,70116900,2217646701.0000,3,3.080400,1,10.000000,0
2020-03-11,sh.600183,33.1100,34.3000,32.2100,33.0000,33.0000,65006453,2161534099.0000,3,2.855900,1,0.000000,0
2020-03-12,sh.600183,31.7000,32.8300,31.0700,32.7700,33.0000,46642074,1488959519.0000,3,2.049100,1,-0.697000,0
2020-03-13,sh.600183,31.0000,33.8000,30.9700,33.1900,32.7700,60155912,1956113620.0000,3,2.642800,1,1.281700,0
2020-03-16,sh.600183,33.3900,33.5000,29.8700,29.8700,33.1900,70998400,2215864812.0000,3,3.119200,1,-10.003000,0
2020-03-17,sh.600183,30.2400,30.6500,26.8800,29.0000,29.8700,70880966,2018527739.0000,3,3.114000,1,-2.912600,0
2020-03-18,sh.600183,29.1600,30.4800,28.3800,28.4500,29.0000,45260676,1330753824.0000,3,1.988400,1,-1.896500,0
2020-03-19,sh.600183,28.5000,30.2200,27.6000,29.5500,28.4500,48285365,1398524325.0000,3,2.121300,1,3.866400,0
2020-03-20,sh.600183,30.4100,30.4900,28.7800,29.3000,29.5500,36054453,1063371966.0000,3,1.584000,1,-0.846000,0
2020-03-23,sh.600183,27.8800,29.0500,27.0500,27.7400,29.3000,41533167,1167042541.0000,3,1.824700,1,-5.324200,0
2020-03-24,sh.600183,28.6600,28.6700,25.9600,27.5000,27.7400,43452087,1186436356.0000,3,1.909000,1,-0.865200,0
2020-03-25,sh.600183,28.3600,29.1400,27.6600,28.1900,27.5000,52902284,1502177485.0000,3,2.324200,1,2.509100,0
2020-03-26,sh.600183,28.1400,28.6200,27.4900,27.7000,28.1900,31152632,872996972.0000,3,1.368600,1,-1.738200,0
2020-03-27,sh.600183,28.2500,28.4600,27.1800,27.3000,27.7000,26888279,747582316.0000,3,1.181300,1,-1.444000,0
2020-03-30,sh.600183,26.7200,27.2000,25.1800,26.5000,27.3000,42467602,1102379459.0000,3,1.865700,1,-2.930400,0
2020-03-31,sh.600183,26.8100,27.0500,25.8300,26.4700,26.5000,29339253,775513738.0000,3,1.289000,1,-0.113200,0
2020-04-01,sh.600183,26.1000,27.1800,26.0000,26.4000,26.4700,33131466,884990846.0000,3,1.455600,1,-0.264400,0
